date,mau,retained,new,resurrected,churned
11-01-2014,1,0,1,0,0
12-01-2014,1,1,0,0,0
01-01-2015,2,1,1,0,0
02-01-2015,2,1,1,0,-1
03-01-2015,4,2,1,1,0
04-01-2015,3,2,1,0,-2
05-01-2015,5,2,2,1,-1
06-01-2015,7,3,4,0,-2
07-01-2015,6,5,1,0,-2
08-01-2015,10,5,4,1,-1
09-01-2015,9,6,3,0,-4
10-01-2015,4,4,0,0,-5
11-01-2015,7,2,3,2,-2
12-01-2015,5,3,1,1,-4
01-01-2016,5,4,0,1,-1
02-01-2016,15,4,11,0,-1
03-01-2016,10,6,3,1,-9
04-01-2016,10,4,5,1,-6
05-01-2016,14,5,7,2,-5
06-01-2016,10,6,2,2,-8
07-01-2016,10,4,5,1,-6
08-01-2016,12,5,5,2,-5
09-01-2016,13,5,6,2,-7
10-01-2016,21,7,11,3,-6
11-01-2016,16,5,6,5,-16
12-01-2016,13,5,6,2,-11
01-01-2017,11,6,4,1,-7
02-01-2017,15,6,6,3,-5
03-01-2017,19,8,7,4,-7
04-01-2017,16,9,4,3,-10
05-01-2017,13,5,6,2,-11
06-01-2017,15,3,6,6,-10
07-01-2017,16,5,7,4,-10
08-01-2017,22,4,8,10,-12
09-01-2017,18,7,6,5,-15
10-01-2017,16,8,5,3,-10
11-01-2017,19,10,3,6,-6
12-01-2017,13,6,3,4,-13
01-01-2018,15,5,7,3,-8
02-01-2018,21,8,9,4,-7
03-01-2018,15,7,4,4,-14
04-01-2018,17,8,7,2,-7
05-01-2018,15,4,6,5,-13
06-01-2018,17,9,5,3,-6
07-01-2018,18,8,6,4,-9
08-01-2018,21,3,14,4,-15
09-01-2018,14,6,6,2,-15
10-01-2018,20,5,7,8,-9
11-01-2018,23,7,8,8,-13
12-01-2018,16,7,7,2,-16
01-01-2019,26,7,9,10,-9
02-01-2019,24,12,8,4,-14
03-01-2019,25,11,11,3,-13
04-01-2019,21,7,12,2,-18
05-01-2019,18,4,9,5,-17
06-01-2019,59,7,50,2,-11
07-01-2019,78,32,42,4,-27
08-01-2019,59,40,16,3,-38
09-01-2019,72,34,32,6,-25
10-01-2019,68,34,26,8,-38
11-01-2019,58,34,14,10,-34
12-01-2019,54,34,14,6,-24
01-01-2020,70,32,26,12,-22
02-01-2020,68,42,16,10,-28
03-01-2020,70,44,15,11,-24
04-01-2020,72,43,16,13,-27
05-01-2020,84,45,25,14,-27
06-01-2020,79,51,17,11,-33
07-01-2020,81,55,18,8,-24
08-01-2020,77,50,23,4,-31
09-01-2020,68,43,12,13,-34
10-01-2020,77,42,19,16,-26
11-01-2020,62,37,15,10,-40
12-01-2020,71,38,13,20,-24
01-01-2021,69,43,19,7,-28
02-01-2021,77,39,20,18,-30
03-01-2021,69,43,13,13,-34
04-01-2021,63,38,12,13,-31
05-01-2021,64,38,15,11,-25
06-01-2021,63,38,15,10,-26
07-01-2021,72,38,20,14,-25
08-01-2021,63,41,10,12,-31
09-01-2021,81,42,24,15,-21
10-01-2021,71,46,18,7,-35
11-01-2021,74,43,17,14,-28
12-01-2021,69,41,18,10,-33
01-01-2022,56,24,23,9,-45
02-01-2022,75,28,29,18,-28
03-01-2022,73,27,29,17,-48
04-01-2022,88,41,35,12,-32
05-01-2022,115,54,45,16,-34
06-01-2022,101,55,31,15,-60
07-01-2022,141,70,53,18,-31
08-01-2022,198,88,94,16,-53
09-01-2022,171,98,52,21,-100
10-01-2022,147,76,51,20,-95
11-01-2022,149,69,62,18,-78
12-01-2022,131,67,37,27,-82
01-01-2023,134,60,54,20,-71
02-01-2023,117,69,30,18,-65
03-01-2023,115,63,38,14,-54
04-01-2023,110,67,30,13,-48
