date,mau,retained,new,resurrected,churned
03-01-2010,1,0,1,0,0
04-01-2010,1,1,0,0,0
05-01-2010,1,0,1,0,-1
06-01-2010,0,0,0,0,-1
02-01-2011,1,0,1,0,0
03-01-2011,3,1,2,0,0
04-01-2011,3,3,0,0,0
05-01-2011,2,1,1,0,-2
06-01-2011,1,1,0,0,-1
07-01-2011,0,0,0,0,-1
09-01-2011,2,0,1,1,0
10-01-2011,1,1,0,0,-1
11-01-2011,3,1,1,1,0
12-01-2011,5,3,2,0,0
01-01-2012,5,3,2,0,-2
02-01-2012,6,3,3,0,-2
03-01-2012,4,3,0,1,-3
04-01-2012,2,1,1,0,-3
05-01-2012,3,1,1,1,-1
06-01-2012,1,1,0,0,-2
07-01-2012,4,1,2,1,0
08-01-2012,2,2,0,0,-2
09-01-2012,3,2,1,0,0
10-01-2012,11,2,9,0,-1
11-01-2012,15,6,9,0,-5
12-01-2012,29,8,20,1,-7
01-01-2013,31,7,24,0,-22
02-01-2013,37,11,23,3,-20
03-01-2013,29,12,17,0,-25
04-01-2013,40,12,23,5,-17
05-01-2013,48,21,22,5,-19
06-01-2013,53,22,24,7,-26
07-01-2013,49,21,21,7,-32
08-01-2013,81,22,46,13,-27
09-01-2013,69,27,30,12,-54
10-01-2013,63,21,35,7,-48
11-01-2013,64,17,36,11,-46
12-01-2013,69,20,24,25,-44
01-01-2014,87,22,41,24,-47
02-01-2014,74,29,36,9,-58
03-01-2014,83,23,46,14,-51
04-01-2014,103,30,47,26,-53
05-01-2014,92,35,44,13,-68
06-01-2014,99,34,44,21,-58
07-01-2014,117,38,63,16,-61
08-01-2014,104,37,43,24,-80
09-01-2014,116,33,66,17,-71
10-01-2014,125,41,62,22,-75
11-01-2014,150,44,77,29,-81
12-01-2014,114,47,42,25,-103
01-01-2015,135,50,64,21,-64
02-01-2015,159,65,69,25,-70
03-01-2015,194,63,100,31,-96
04-01-2015,159,54,73,32,-140
05-01-2015,168,50,89,29,-109
06-01-2015,184,48,102,34,-120
07-01-2015,230,54,123,53,-130
08-01-2015,247,84,124,39,-146
09-01-2015,243,77,132,34,-170
10-01-2015,247,64,130,53,-179
11-01-2015,238,71,120,47,-176
12-01-2015,263,67,151,45,-171
01-01-2016,280,58,153,69,-205
02-01-2016,253,68,134,51,-212
03-01-2016,296,76,153,67,-177
04-01-2016,242,64,142,36,-232
05-01-2016,277,73,140,64,-169
06-01-2016,347,79,197,71,-198
07-01-2016,297,75,174,48,-272
08-01-2016,339,70,208,61,-227
09-01-2016,338,95,169,74,-244
10-01-2016,410,103,226,81,-235
11-01-2016,409,104,216,89,-306
12-01-2016,307,94,145,68,-315
01-01-2017,437,92,238,107,-215
02-01-2017,329,98,165,66,-339
03-01-2017,493,115,268,110,-214
04-01-2017,367,99,192,76,-394
05-01-2017,404,94,225,85,-273
06-01-2017,547,119,309,119,-285
07-01-2017,480,127,255,98,-420
08-01-2017,550,115,311,124,-365
09-01-2017,435,115,212,108,-435
10-01-2017,614,122,329,163,-313
11-01-2017,537,127,301,109,-487
12-01-2017,426,129,197,100,-408
01-01-2018,611,116,328,167,-310
02-01-2018,525,114,271,140,-497
03-01-2018,549,154,272,123,-371
04-01-2018,519,123,270,126,-426
05-01-2018,621,138,336,147,-381
06-01-2018,600,159,308,133,-462
07-01-2018,607,130,317,160,-470
08-01-2018,609,132,319,158,-475
09-01-2018,524,145,258,121,-464
10-01-2018,697,151,368,178,-373
11-01-2018,623,177,305,141,-520
12-01-2018,570,156,290,124,-467
01-01-2019,648,156,336,156,-414
02-01-2019,569,170,274,125,-478
03-01-2019,648,173,307,168,-396
04-01-2019,518,154,238,126,-494
05-01-2019,552,119,277,156,-399
06-01-2019,482,120,237,125,-432
07-01-2019,521,124,268,129,-358
08-01-2019,571,123,305,143,-398
09-01-2019,370,116,151,103,-455
10-01-2019,146,64,49,33,-306
11-01-2019,150,71,48,31,-75
12-01-2019,133,70,34,29,-80
01-01-2020,133,73,36,24,-60
02-01-2020,150,70,44,36,-63
03-01-2020,124,68,32,24,-82
04-01-2020,132,52,43,37,-72
05-01-2020,142,62,54,26,-70
06-01-2020,148,67,47,34,-75
07-01-2020,135,62,48,25,-86
08-01-2020,115,64,30,21,-71
09-01-2020,148,68,53,27,-47
10-01-2020,141,75,38,28,-73
11-01-2020,134,83,29,22,-58
12-01-2020,127,65,39,23,-69
01-01-2021,141,79,33,29,-48
02-01-2021,122,70,27,25,-71
03-01-2021,132,64,45,23,-58
04-01-2021,136,72,34,30,-60
05-01-2021,126,74,28,24,-62
06-01-2021,128,63,39,26,-63
07-01-2021,130,72,32,26,-56
08-01-2021,165,75,56,34,-55
09-01-2021,157,95,41,21,-70
10-01-2021,165,85,49,31,-72
11-01-2021,139,72,45,22,-93
12-01-2021,107,59,31,17,-80
01-01-2022,136,68,45,23,-39
02-01-2022,143,76,52,15,-60
03-01-2022,127,94,25,8,-49
04-01-2022,94,66,14,14,-61
05-01-2022,108,68,27,13,-26
06-01-2022,96,60,22,14,-48
07-01-2022,97,60,21,16,-36
08-01-2022,118,68,34,16,-29
09-01-2022,102,75,12,15,-43
10-01-2022,100,65,18,17,-37
11-01-2022,83,65,5,13,-35
12-01-2022,72,50,8,14,-33
01-01-2023,95,55,18,22,-17
02-01-2023,94,66,17,11,-29
03-01-2023,96,66,11,19,-28
04-01-2023,82,61,10,11,-35
