date,mau,retained,new,resurrected,churned
07-01-2007,7,0,7,0,0
08-01-2007,7,4,3,0,-3
09-01-2007,7,4,2,1,-3
10-01-2007,11,7,1,3,0
11-01-2007,12,9,3,0,-2
12-01-2007,13,11,1,1,-1
01-01-2008,11,8,3,0,-5
02-01-2008,14,9,2,3,-2
03-01-2008,9,6,3,0,-8
04-01-2008,13,7,3,3,-2
05-01-2008,15,9,2,4,-4
06-01-2008,14,11,3,0,-4
07-01-2008,15,9,1,5,-5
08-01-2008,16,10,3,3,-5
09-01-2008,15,12,0,3,-4
10-01-2008,19,11,3,5,-4
11-01-2008,18,13,0,5,-6
12-01-2008,16,13,0,3,-5
01-01-2009,16,13,0,3,-3
02-01-2009,24,15,3,6,-1
03-01-2009,18,17,1,0,-7
04-01-2009,18,13,2,3,-5
05-01-2009,17,14,1,2,-4
06-01-2009,22,15,0,7,-2
07-01-2009,25,18,4,3,-4
08-01-2009,28,21,5,2,-4
09-01-2009,23,17,3,3,-11
10-01-2009,26,14,3,9,-9
11-01-2009,31,21,5,5,-5
12-01-2009,28,23,1,4,-8
01-01-2010,29,24,0,5,-4
02-01-2010,29,20,3,6,-9
03-01-2010,31,24,1,6,-5
04-01-2010,30,24,2,4,-7
05-01-2010,26,20,2,4,-10
06-01-2010,34,22,5,7,-4
07-01-2010,37,30,2,5,-4
08-01-2010,34,29,2,3,-8
09-01-2010,41,28,5,8,-6
10-01-2010,41,32,2,7,-9
11-01-2010,35,29,1,5,-12
12-01-2010,33,24,2,7,-11
01-01-2011,35,27,2,6,-6
02-01-2011,34,25,3,6,-10
03-01-2011,44,28,5,11,-6
04-01-2011,49,35,5,9,-9
05-01-2011,43,35,1,7,-14
06-01-2011,45,33,4,8,-10
07-01-2011,45,33,5,7,-12
08-01-2011,44,33,2,9,-12
09-01-2011,43,32,5,6,-12
10-01-2011,49,36,3,10,-7
11-01-2011,42,34,5,3,-15
12-01-2011,47,33,3,11,-9
01-01-2012,47,36,4,7,-11
02-01-2012,56,38,7,11,-9
03-01-2012,52,40,3,9,-16
04-01-2012,50,33,5,12,-19
05-01-2012,58,37,5,16,-13
06-01-2012,53,38,4,11,-20
07-01-2012,58,42,4,12,-11
08-01-2012,57,44,4,9,-14
09-01-2012,56,41,5,10,-16
10-01-2012,63,39,13,11,-17
11-01-2012,54,44,3,7,-19
12-01-2012,52,36,5,11,-18
01-01-2013,65,39,6,20,-13
02-01-2013,57,47,3,7,-18
03-01-2013,66,44,7,15,-13
04-01-2013,58,42,2,14,-24
05-01-2013,59,39,7,13,-19
06-01-2013,62,39,6,17,-20
07-01-2013,56,40,6,10,-22
08-01-2013,70,39,7,24,-17
09-01-2013,77,49,7,21,-21
10-01-2013,71,47,8,16,-30
11-01-2013,81,50,7,24,-21
12-01-2013,66,53,4,9,-28
01-01-2014,74,44,5,25,-22
02-01-2014,72,57,4,11,-17
03-01-2014,82,54,7,21,-18
04-01-2014,78,53,6,19,-29
05-01-2014,87,58,8,21,-20
06-01-2014,78,54,8,16,-33
07-01-2014,83,55,8,20,-23
08-01-2014,82,53,7,22,-30
09-01-2014,59,40,7,12,-42
10-01-2014,79,42,7,30,-17
11-01-2014,66,39,8,19,-40
12-01-2014,71,39,3,29,-27
01-01-2015,70,40,4,26,-31
02-01-2015,83,45,9,29,-25
03-01-2015,87,47,13,27,-36
04-01-2015,72,49,5,18,-38
05-01-2015,84,46,8,30,-26
06-01-2015,95,48,15,32,-36
07-01-2015,83,50,7,26,-45
08-01-2015,87,55,8,24,-28
09-01-2015,153,56,65,32,-31
10-01-2015,113,59,25,29,-94
11-01-2015,105,53,17,35,-60
12-01-2015,96,55,13,28,-50
01-01-2016,106,57,18,31,-39
02-01-2016,120,71,18,31,-35
03-01-2016,143,79,28,36,-41
04-01-2016,139,81,24,34,-62
05-01-2016,133,77,21,35,-62
06-01-2016,122,70,18,34,-63
07-01-2016,121,70,12,39,-52
08-01-2016,130,76,19,35,-45
09-01-2016,130,73,20,37,-57
10-01-2016,132,77,14,41,-53
11-01-2016,125,78,15,32,-54
12-01-2016,143,78,30,35,-47
01-01-2017,158,98,16,44,-45
02-01-2017,179,94,50,35,-64
03-01-2017,200,104,49,47,-75
04-01-2017,192,104,45,43,-96
05-01-2017,203,103,61,39,-89
06-01-2017,244,117,71,56,-86
07-01-2017,205,98,52,55,-146
08-01-2017,238,106,83,49,-99
09-01-2017,250,116,67,67,-122
10-01-2017,221,111,68,42,-139
11-01-2017,249,117,62,70,-104
12-01-2017,251,127,71,53,-122
01-01-2018,323,136,115,72,-115
02-01-2018,299,135,117,47,-188
03-01-2018,301,133,104,64,-166
04-01-2018,296,144,82,70,-157
05-01-2018,329,152,91,86,-144
06-01-2018,435,182,189,64,-147
07-01-2018,299,164,73,62,-271
08-01-2018,316,151,90,75,-148
09-01-2018,317,165,85,67,-151
10-01-2018,352,164,100,88,-153
11-01-2018,304,163,72,69,-189
12-01-2018,247,124,54,69,-180
01-01-2019,293,128,65,100,-119
02-01-2019,293,145,63,85,-148
03-01-2019,321,158,81,82,-135
04-01-2019,318,145,79,94,-176
05-01-2019,399,167,106,126,-151
06-01-2019,304,173,63,68,-226
07-01-2019,277,140,57,80,-164
08-01-2019,189,92,46,51,-185
09-01-2019,253,92,78,83,-97
10-01-2019,147,74,36,37,-179
11-01-2019,56,36,12,8,-111
12-01-2019,63,30,14,19,-26
01-01-2020,58,32,11,15,-31
02-01-2020,68,28,21,19,-30
03-01-2020,53,29,7,17,-39
04-01-2020,56,28,12,16,-25
05-01-2020,68,37,12,19,-19
06-01-2020,58,32,13,13,-36
07-01-2020,56,30,8,18,-28
08-01-2020,51,26,13,12,-30
09-01-2020,37,22,7,8,-29
10-01-2020,46,20,16,10,-17
11-01-2020,44,20,7,17,-26
12-01-2020,38,22,7,9,-22
01-01-2021,41,17,11,13,-21
02-01-2021,44,27,7,10,-14
03-01-2021,48,26,9,13,-18
04-01-2021,52,37,4,11,-11
05-01-2021,41,32,4,5,-20
06-01-2021,41,25,6,10,-16
07-01-2021,32,17,8,7,-24
08-01-2021,38,16,7,15,-16
09-01-2021,38,22,11,5,-16
10-01-2021,41,16,15,10,-22
11-01-2021,34,20,10,4,-21
12-01-2021,38,13,17,8,-21
01-01-2022,48,15,17,16,-23
02-01-2022,35,20,10,5,-28
03-01-2022,29,11,12,6,-24
04-01-2022,55,13,25,17,-16
05-01-2022,43,20,14,9,-35
06-01-2022,37,9,21,7,-34
07-01-2022,48,16,21,11,-21
08-01-2022,43,21,14,8,-27
09-01-2022,30,15,8,7,-28
10-01-2022,36,19,12,5,-11
11-01-2022,39,21,10,8,-15
12-01-2022,27,16,7,4,-23
01-01-2023,27,17,5,5,-10
02-01-2023,37,15,4,18,-12
03-01-2023,30,12,10,8,-25
04-01-2023,19,11,4,4,-19
