date,mau,retained,new,resurrected,churned
07-01-2010,1,0,1,0,0
08-01-2010,2,1,1,0,0
09-01-2010,4,1,3,0,-1
10-01-2010,2,2,0,0,-2
11-01-2010,3,2,0,1,0
12-01-2010,4,2,2,0,-1
01-01-2011,5,3,2,0,-1
02-01-2011,5,2,2,1,-3
03-01-2011,3,1,2,0,-4
04-01-2011,2,0,1,1,-3
05-01-2011,8,2,5,1,0
06-01-2011,4,2,1,1,-6
07-01-2011,2,1,1,0,-3
08-01-2011,3,2,0,1,0
09-01-2011,4,2,2,0,-1
10-01-2011,5,1,3,1,-3
11-01-2011,3,2,1,0,-3
12-01-2011,4,2,1,1,-1
01-01-2012,0,0,0,0,-4
02-01-2012,9,0,7,2,0
03-01-2012,7,5,2,0,-4
04-01-2012,2,1,0,1,-6
05-01-2012,3,0,0,3,-2
06-01-2012,1,1,0,0,-2
07-01-2012,6,1,1,4,0
08-01-2012,6,2,4,0,-4
09-01-2012,7,2,2,3,-4
10-01-2012,3,1,2,0,-6
11-01-2012,5,0,3,2,-3
12-01-2012,9,1,4,4,-4
01-01-2013,7,5,0,2,-4
02-01-2013,8,4,2,2,-3
03-01-2013,6,3,1,2,-5
04-01-2013,5,2,3,0,-4
05-01-2013,13,2,8,3,-3
06-01-2013,17,8,6,3,-5
07-01-2013,12,9,3,0,-8
08-01-2013,13,7,4,2,-5
09-01-2013,9,4,2,3,-9
10-01-2013,9,5,2,2,-4
11-01-2013,14,5,6,3,-4
12-01-2013,9,5,2,2,-9
01-01-2014,12,7,3,2,-2
02-01-2014,12,5,6,1,-7
03-01-2014,13,6,4,3,-6
04-01-2014,9,7,1,1,-6
05-01-2014,11,6,3,2,-3
06-01-2014,8,6,1,1,-5
07-01-2014,14,6,5,3,-2
08-01-2014,15,8,6,1,-6
09-01-2014,12,5,5,2,-10
10-01-2014,20,8,7,5,-4
11-01-2014,17,8,7,2,-12
12-01-2014,18,10,4,4,-7
01-01-2015,24,15,7,2,-3
02-01-2015,20,13,6,1,-11
03-01-2015,34,13,16,5,-7
04-01-2015,34,18,14,2,-16
05-01-2015,32,20,9,3,-14
06-01-2015,51,21,22,8,-11
07-01-2015,61,22,37,2,-29
08-01-2015,50,24,19,7,-37
09-01-2015,45,18,23,4,-32
10-01-2015,52,21,21,10,-24
11-01-2015,57,26,23,8,-26
12-01-2015,57,22,22,13,-35
01-01-2016,59,20,29,10,-37
02-01-2016,56,22,33,1,-37
03-01-2016,65,18,33,14,-38
04-01-2016,78,19,45,14,-46
05-01-2016,66,24,34,8,-54
06-01-2016,58,23,25,10,-43
07-01-2016,57,20,31,6,-38
08-01-2016,53,22,24,7,-35
09-01-2016,58,21,28,9,-32
10-01-2016,63,26,28,9,-32
11-01-2016,69,22,35,12,-41
12-01-2016,66,20,38,8,-49
01-01-2017,67,20,36,11,-46
02-01-2017,59,25,26,8,-42
03-01-2017,69,28,31,10,-31
04-01-2017,71,23,38,10,-46
05-01-2017,83,28,43,12,-43
06-01-2017,80,27,46,7,-56
07-01-2017,82,31,39,12,-49
08-01-2017,86,35,38,13,-47
09-01-2017,80,33,34,13,-53
10-01-2017,81,26,39,16,-54
11-01-2017,93,30,42,21,-51
12-01-2017,72,32,28,12,-61
01-01-2018,86,37,34,15,-35
02-01-2018,83,32,35,16,-54
03-01-2018,108,35,51,22,-48
04-01-2018,102,39,46,17,-69
05-01-2018,96,36,42,18,-66
06-01-2018,100,36,44,20,-60
07-01-2018,103,45,36,22,-55
08-01-2018,116,48,51,17,-55
09-01-2018,128,54,51,23,-62
10-01-2018,120,51,42,27,-77
11-01-2018,116,52,43,21,-68
12-01-2018,103,47,37,19,-69
01-01-2019,134,58,55,21,-45
02-01-2019,130,54,53,23,-80
03-01-2019,116,58,40,18,-72
04-01-2019,126,55,47,24,-61
05-01-2019,124,58,51,15,-68
06-01-2019,144,55,56,33,-69
07-01-2019,142,57,52,33,-87
08-01-2019,178,81,70,27,-61
09-01-2019,169,79,54,36,-99
10-01-2019,193,90,71,32,-79
11-01-2019,189,81,83,25,-112
12-01-2019,184,92,61,31,-97
01-01-2020,205,97,77,31,-87
02-01-2020,199,116,51,32,-89
03-01-2020,202,103,65,34,-96
04-01-2020,231,109,67,55,-93
05-01-2020,216,127,60,29,-104
06-01-2020,270,143,85,42,-73
07-01-2020,292,170,84,38,-100
08-01-2020,292,192,68,32,-100
09-01-2020,379,199,130,50,-93
10-01-2020,376,229,111,36,-150
11-01-2020,270,199,37,34,-177
12-01-2020,278,197,50,31,-73
01-01-2021,289,186,65,38,-92
02-01-2021,287,187,66,34,-102
03-01-2021,297,182,71,44,-105
04-01-2021,238,121,77,40,-176
05-01-2021,242,127,67,48,-111
06-01-2021,259,139,75,45,-103
07-01-2021,305,150,103,52,-109
08-01-2021,332,173,106,53,-132
09-01-2021,358,186,122,50,-146
10-01-2021,359,188,128,43,-170
11-01-2021,395,181,152,62,-178
12-01-2021,357,175,121,61,-220
01-01-2022,413,182,139,92,-175
02-01-2022,432,206,151,75,-207
03-01-2022,474,233,181,60,-199
04-01-2022,463,231,172,60,-243
05-01-2022,470,222,182,66,-241
06-01-2022,459,233,160,66,-237
07-01-2022,445,214,162,69,-245
08-01-2022,457,235,154,68,-210
09-01-2022,437,234,135,68,-223
10-01-2022,433,227,131,75,-210
11-01-2022,409,218,115,76,-215
12-01-2022,357,201,82,74,-208
01-01-2023,376,187,98,91,-170
02-01-2023,362,188,104,70,-188
03-01-2023,388,179,114,95,-183
04-01-2023,259,168,56,35,-220
