date,mau,retained,new,resurrected,churned
03-01-2009,1,0,1,0,0
04-01-2009,3,1,2,0,0
05-01-2009,1,1,0,0,-2
06-01-2009,2,1,0,1,0
07-01-2009,0,0,0,0,-2
08-01-2009,1,0,0,1,0
09-01-2009,1,1,0,0,0
10-01-2009,0,0,0,0,-1
12-01-2009,1,0,0,1,0
01-01-2010,1,1,0,0,0
02-01-2010,0,0,0,0,-1
03-01-2010,1,0,0,1,0
04-01-2010,1,1,0,0,0
05-01-2010,1,1,0,0,0
06-01-2010,1,1,0,0,0
07-01-2010,1,1,0,0,0
08-01-2010,0,0,0,0,-1
09-01-2010,1,0,0,1,0
10-01-2010,1,1,0,0,0
11-01-2010,1,1,0,0,0
12-01-2010,1,1,0,0,0
01-01-2011,2,1,1,0,0
02-01-2011,1,1,0,0,-1
03-01-2011,3,1,1,1,0
04-01-2011,1,1,0,0,-2
05-01-2011,1,1,0,0,0
06-01-2011,0,0,0,0,-1
08-01-2011,1,0,0,1,0
09-01-2011,1,1,0,0,0
10-01-2011,1,0,0,1,-1
11-01-2011,1,0,0,1,-1
12-01-2011,0,0,0,0,-1
01-01-2012,1,0,0,1,0
02-01-2012,1,1,0,0,0
03-01-2012,1,0,0,1,-1
04-01-2012,1,0,0,1,-1
05-01-2012,0,0,0,0,-1
08-01-2012,1,0,0,1,0
09-01-2012,0,0,0,0,-1
01-01-2013,1,0,0,1,0
02-01-2013,0,0,0,0,-1
07-01-2013,1,0,0,1,0
08-01-2013,0,0,0,0,-1
03-01-2014,2,0,2,0,0
04-01-2014,7,2,5,0,0
05-01-2014,2,2,0,0,-5
06-01-2014,2,1,0,1,-1
07-01-2014,0,0,0,0,-2
08-01-2014,1,0,1,0,0
09-01-2014,4,0,2,2,-1
10-01-2014,1,0,0,1,-4
11-01-2014,3,0,3,0,-1
12-01-2014,3,1,2,0,-2
01-01-2015,4,0,3,1,-3
02-01-2015,6,1,4,1,-3
03-01-2015,3,2,1,0,-4
04-01-2015,6,2,3,1,-1
05-01-2015,6,3,1,2,-3
06-01-2015,9,3,3,3,-3
07-01-2015,15,5,10,0,-4
08-01-2015,5,3,2,0,-12
09-01-2015,6,1,1,4,-4
10-01-2015,8,2,6,0,-4
11-01-2015,15,4,10,1,-4
12-01-2015,9,5,4,0,-10
01-01-2016,9,2,5,2,-7
02-01-2016,14,4,8,2,-5
03-01-2016,4,2,0,2,-12
04-01-2016,13,1,7,5,-3
05-01-2016,9,4,5,0,-9
06-01-2016,8,3,5,0,-6
07-01-2016,11,5,4,2,-3
08-01-2016,15,4,6,5,-7
09-01-2016,10,5,3,2,-10
10-01-2016,13,5,3,5,-5
11-01-2016,14,9,0,5,-4
12-01-2016,11,7,4,0,-7
01-01-2017,14,7,2,5,-4
02-01-2017,26,8,13,5,-6
03-01-2017,21,11,6,4,-15
04-01-2017,18,10,2,6,-11
05-01-2017,20,8,11,1,-10
06-01-2017,25,15,7,3,-5
07-01-2017,31,17,9,5,-8
08-01-2017,32,19,11,2,-12
09-01-2017,35,20,6,9,-12
10-01-2017,40,19,18,3,-16
11-01-2017,43,21,11,11,-19
12-01-2017,55,31,15,9,-12
01-01-2018,55,31,17,7,-24
02-01-2018,63,33,22,8,-22
03-01-2018,84,44,30,10,-19
04-01-2018,82,48,28,6,-36
05-01-2018,73,50,15,8,-32
06-01-2018,71,43,19,9,-30
07-01-2018,55,36,14,5,-35
08-01-2018,67,37,20,10,-18
09-01-2018,54,36,9,9,-31
10-01-2018,67,37,14,16,-17
11-01-2018,68,44,21,3,-23
12-01-2018,67,41,21,5,-27
01-01-2019,78,43,26,9,-24
02-01-2019,68,45,13,10,-33
03-01-2019,82,50,26,6,-18
04-01-2019,81,45,25,11,-37
05-01-2019,68,47,12,9,-34
06-01-2019,68,46,16,6,-22
07-01-2019,65,41,12,12,-27
08-01-2019,54,40,6,8,-25
09-01-2019,55,33,10,12,-21
10-01-2019,64,37,16,11,-18
11-01-2019,67,44,12,11,-20
12-01-2019,72,45,16,11,-22
01-01-2020,71,45,16,10,-27
02-01-2020,90,55,26,9,-16
03-01-2020,74,61,7,6,-29
04-01-2020,94,60,19,15,-14
05-01-2020,81,61,12,8,-33
06-01-2020,94,59,20,15,-22
07-01-2020,78,58,9,11,-36
08-01-2020,81,50,21,10,-28
09-01-2020,176,61,103,12,-20
10-01-2020,200,81,111,8,-95
11-01-2020,134,82,37,15,-118
12-01-2020,90,57,19,14,-77
01-01-2021,83,53,16,14,-37
02-01-2021,89,57,18,14,-26
03-01-2021,104,58,26,20,-31
04-01-2021,87,58,11,18,-46
05-01-2021,83,50,24,9,-37
06-01-2021,70,55,10,5,-28
07-01-2021,80,59,10,11,-11
08-01-2021,106,60,33,13,-20
09-01-2021,101,64,33,4,-42
10-01-2021,110,61,39,10,-40
11-01-2021,115,63,38,14,-47
12-01-2021,111,65,34,12,-50
01-01-2022,122,67,36,19,-44
02-01-2022,125,75,36,14,-47
03-01-2022,129,72,45,12,-53
04-01-2022,97,66,24,7,-63
05-01-2022,98,58,27,13,-39
06-01-2022,121,64,47,10,-34
07-01-2022,94,63,24,7,-58
08-01-2022,107,63,29,15,-31
09-01-2022,110,70,29,11,-37
10-01-2022,83,55,21,7,-55
11-01-2022,82,59,14,9,-24
12-01-2022,72,46,13,13,-36
01-01-2023,74,45,17,12,-27
02-01-2023,56,44,6,6,-30
03-01-2023,73,39,23,11,-17
04-01-2023,58,36,12,10,-37
