date,mau,retained,new,resurrected,churned
01-01-2014,3,0,3,0,0
02-01-2014,6,2,4,0,-1
03-01-2014,5,3,2,0,-3
04-01-2014,4,3,1,0,-2
05-01-2014,1,1,0,0,-3
06-01-2014,4,1,2,1,0
07-01-2014,4,2,1,1,-2
08-01-2014,2,1,1,0,-3
09-01-2014,2,1,1,0,-1
10-01-2014,9,2,6,1,0
11-01-2014,11,7,4,0,-2
12-01-2014,16,11,5,0,0
01-01-2015,11,9,2,0,-7
02-01-2015,15,11,2,2,0
03-01-2015,13,12,1,0,-3
04-01-2015,15,11,3,1,-2
05-01-2015,15,11,4,0,-4
06-01-2015,12,10,2,0,-5
07-01-2015,13,9,1,3,-3
08-01-2015,14,10,2,2,-3
09-01-2015,11,9,2,0,-5
10-01-2015,8,7,0,1,-4
11-01-2015,8,4,4,0,-4
12-01-2015,15,4,8,3,-4
01-01-2016,11,9,0,2,-6
02-01-2016,10,6,3,1,-5
03-01-2016,16,6,5,5,-4
04-01-2016,11,6,3,2,-10
05-01-2016,16,6,6,4,-5
06-01-2016,16,7,6,3,-9
07-01-2016,14,6,6,2,-10
08-01-2016,26,9,13,4,-5
09-01-2016,17,9,5,3,-17
10-01-2016,20,7,8,5,-10
11-01-2016,22,8,8,6,-12
12-01-2016,11,7,3,1,-15
01-01-2017,21,5,7,9,-6
02-01-2017,13,9,4,0,-12
03-01-2017,13,6,6,1,-7
04-01-2017,18,7,7,4,-6
05-01-2017,23,9,9,5,-9
06-01-2017,25,11,8,6,-12
07-01-2017,29,12,14,3,-13
08-01-2017,24,9,8,7,-20
09-01-2017,23,9,10,4,-15
10-01-2017,28,10,16,2,-13
11-01-2017,24,10,11,3,-18
12-01-2017,29,10,17,2,-14
01-01-2018,25,10,13,2,-19
02-01-2018,32,13,11,8,-12
03-01-2018,30,13,13,4,-19
04-01-2018,36,15,11,10,-15
05-01-2018,38,14,22,2,-22
06-01-2018,37,18,13,6,-20
07-01-2018,59,18,37,4,-19
08-01-2018,65,28,34,3,-31
09-01-2018,68,30,26,12,-35
10-01-2018,85,30,44,11,-38
11-01-2018,77,38,28,11,-47
12-01-2018,64,37,20,7,-40
01-01-2019,71,35,25,11,-29
02-01-2019,54,34,10,10,-37
03-01-2019,70,35,17,18,-19
04-01-2019,68,39,14,15,-31
05-01-2019,76,39,24,13,-29
06-01-2019,68,42,16,10,-34
07-01-2019,75,40,16,19,-28
08-01-2019,63,38,15,10,-37
09-01-2019,65,38,15,12,-25
10-01-2019,60,38,9,13,-27
11-01-2019,72,40,11,21,-20
12-01-2019,66,39,9,18,-33
01-01-2020,55,36,9,10,-30
02-01-2020,54,33,9,12,-22
03-01-2020,53,34,7,12,-20
04-01-2020,60,32,18,10,-21
05-01-2020,58,35,10,13,-25
06-01-2020,63,35,12,16,-23
07-01-2020,72,35,18,19,-28
08-01-2020,77,41,22,14,-31
09-01-2020,80,41,19,20,-36
10-01-2020,60,29,14,17,-51
11-01-2020,39,20,6,13,-40
12-01-2020,34,18,7,9,-21
01-01-2021,40,18,8,14,-16
02-01-2021,61,25,21,15,-15
03-01-2021,63,29,20,14,-32
04-01-2021,48,29,11,8,-34
05-01-2021,41,27,10,4,-21
06-01-2021,56,30,19,7,-11
07-01-2021,47,31,12,4,-25
08-01-2021,58,26,18,14,-21
09-01-2021,58,31,16,11,-27
10-01-2021,54,38,11,5,-20
11-01-2021,75,40,21,14,-14
12-01-2021,78,44,26,8,-31
01-01-2022,95,49,37,9,-29
02-01-2022,108,63,38,7,-32
03-01-2022,110,60,36,14,-48
04-01-2022,121,59,57,5,-51
05-01-2022,114,54,46,14,-67
06-01-2022,110,65,35,10,-49
07-01-2022,95,60,20,15,-50
08-01-2022,124,61,45,18,-34
09-01-2022,160,67,77,16,-57
10-01-2022,131,73,42,16,-87
11-01-2022,128,58,53,17,-73
12-01-2022,168,75,77,16,-53
01-01-2023,144,83,37,24,-85
02-01-2023,145,72,54,19,-72
03-01-2023,142,81,39,22,-64
04-01-2023,137,76,47,14,-66
