date,mau,retained,new,resurrected,churned
10-01-2011,1,0,1,0,0
11-01-2011,2,1,1,0,0
12-01-2011,2,2,0,0,0
01-01-2012,2,2,0,0,0
02-01-2012,1,1,0,0,-1
03-01-2012,2,1,1,0,0
04-01-2012,2,2,0,0,0
05-01-2012,3,2,0,1,0
06-01-2012,3,3,0,0,0
07-01-2012,4,3,1,0,0
08-01-2012,6,4,2,0,0
09-01-2012,6,5,1,0,-1
10-01-2012,7,5,2,0,-1
11-01-2012,8,5,3,0,-2
12-01-2012,7,4,2,1,-4
01-01-2013,6,4,2,0,-3
02-01-2013,6,5,1,0,-1
03-01-2013,6,5,1,0,-1
04-01-2013,10,6,0,4,0
05-01-2013,8,4,4,0,-6
06-01-2013,11,5,5,1,-3
07-01-2013,11,7,3,1,-4
08-01-2013,11,9,1,1,-2
09-01-2013,12,9,3,0,-2
10-01-2013,13,6,6,1,-6
11-01-2013,12,9,2,1,-4
12-01-2013,16,8,7,1,-4
01-01-2014,12,10,2,0,-6
02-01-2014,15,10,4,1,-2
03-01-2014,14,10,3,1,-5
04-01-2014,21,10,9,2,-4
05-01-2014,24,14,7,3,-7
06-01-2014,19,11,5,3,-13
07-01-2014,21,11,10,0,-8
08-01-2014,30,15,14,1,-6
09-01-2014,24,13,10,1,-17
10-01-2014,25,15,9,1,-9
11-01-2014,22,18,1,3,-7
12-01-2014,23,16,5,2,-6
01-01-2015,25,16,6,3,-7
02-01-2015,23,15,8,0,-10
03-01-2015,24,19,1,4,-4
04-01-2015,24,23,1,0,-1
05-01-2015,25,22,2,1,-2
06-01-2015,31,23,4,4,-2
07-01-2015,35,25,6,4,-6
08-01-2015,37,26,9,2,-9
09-01-2015,36,29,6,1,-8
10-01-2015,44,30,8,6,-6
11-01-2015,43,35,8,0,-9
12-01-2015,35,29,5,1,-14
01-01-2016,39,28,5,6,-7
02-01-2016,37,31,5,1,-8
03-01-2016,42,28,9,5,-9
04-01-2016,39,27,8,4,-15
05-01-2016,40,26,9,5,-13
06-01-2016,39,28,6,5,-12
07-01-2016,41,28,7,6,-11
08-01-2016,47,30,11,6,-11
09-01-2016,48,31,14,3,-16
10-01-2016,39,31,5,3,-17
11-01-2016,44,32,6,6,-7
12-01-2016,44,31,10,3,-13
01-01-2017,56,35,14,7,-9
02-01-2017,62,37,19,6,-19
03-01-2017,73,44,23,6,-18
04-01-2017,59,40,14,5,-33
05-01-2017,68,37,24,7,-22
06-01-2017,53,34,11,8,-34
07-01-2017,68,33,22,13,-20
08-01-2017,72,42,23,7,-26
09-01-2017,71,40,23,8,-32
10-01-2017,76,41,27,8,-30
11-01-2017,76,45,18,13,-31
12-01-2017,80,47,20,13,-29
01-01-2018,118,49,55,14,-31
02-01-2018,163,71,74,18,-47
03-01-2018,155,91,57,7,-72
04-01-2018,138,81,44,13,-74
05-01-2018,129,74,30,25,-64
06-01-2018,117,68,35,14,-61
07-01-2018,124,64,36,24,-53
08-01-2018,154,79,47,28,-45
09-01-2018,127,83,24,20,-71
10-01-2018,144,69,49,26,-58
11-01-2018,118,80,24,14,-64
12-01-2018,116,69,28,19,-49
01-01-2019,123,72,29,22,-44
02-01-2019,144,86,30,28,-37
03-01-2019,135,91,29,15,-53
04-01-2019,142,93,24,25,-42
05-01-2019,119,83,21,15,-59
06-01-2019,128,78,35,15,-41
07-01-2019,123,82,22,19,-46
08-01-2019,135,89,29,17,-34
09-01-2019,125,81,27,17,-54
10-01-2019,124,77,25,22,-48
11-01-2019,112,72,21,19,-52
12-01-2019,94,68,10,16,-44
01-01-2020,103,70,17,16,-24
02-01-2020,131,77,29,25,-26
03-01-2020,113,85,19,9,-46
04-01-2020,133,86,24,23,-27
05-01-2020,107,76,18,13,-57
06-01-2020,98,58,28,12,-49
07-01-2020,95,60,20,15,-38
08-01-2020,81,51,19,11,-44
09-01-2020,86,48,18,20,-33
10-01-2020,93,55,31,7,-31
11-01-2020,99,60,24,15,-33
12-01-2020,104,58,26,20,-41
01-01-2021,116,62,30,24,-42
02-01-2021,89,50,20,19,-66
03-01-2021,104,55,28,21,-34
04-01-2021,112,59,31,22,-45
05-01-2021,123,64,35,24,-48
06-01-2021,115,71,23,21,-52
07-01-2021,95,58,22,15,-57
08-01-2021,116,51,47,18,-44
09-01-2021,120,58,35,27,-58
10-01-2021,130,60,52,18,-60
11-01-2021,130,69,44,17,-61
12-01-2021,109,59,33,17,-71
01-01-2022,131,59,47,25,-50
02-01-2022,115,54,27,34,-77
03-01-2022,116,61,31,24,-54
04-01-2022,114,58,27,29,-58
05-01-2022,125,65,32,28,-49
06-01-2022,118,62,30,26,-63
07-01-2022,124,56,40,28,-62
08-01-2022,106,65,23,18,-59
09-01-2022,128,65,24,39,-41
10-01-2022,110,74,21,15,-54
11-01-2022,97,62,19,16,-48
12-01-2022,85,53,7,25,-44
01-01-2023,87,60,6,21,-25
02-01-2023,96,58,16,22,-29
03-01-2023,97,63,22,12,-33
04-01-2023,88,64,9,15,-33
