date,mau,retained,new,resurrected,churned
03-01-2010,1,0,1,0,0
04-01-2010,1,0,1,0,-1
05-01-2010,1,0,0,1,-1
06-01-2010,0,0,0,0,-1
07-01-2010,2,0,1,1,0
08-01-2010,1,1,0,0,-1
09-01-2010,2,1,0,1,0
10-01-2010,1,1,0,0,-1
11-01-2010,0,0,0,0,-1
12-01-2010,1,0,1,0,0
01-01-2011,2,1,0,1,0
02-01-2011,2,2,0,0,0
03-01-2011,4,1,3,0,-1
04-01-2011,4,2,2,0,-2
05-01-2011,4,2,1,1,-2
06-01-2011,8,3,5,0,-1
07-01-2011,10,6,3,1,-2
08-01-2011,14,6,7,1,-4
09-01-2011,14,6,7,1,-8
10-01-2011,15,9,5,1,-5
11-01-2011,12,6,5,1,-9
12-01-2011,14,6,5,3,-6
01-01-2012,13,7,3,3,-7
02-01-2012,11,5,2,4,-8
03-01-2012,16,9,3,4,-2
04-01-2012,14,9,3,2,-7
05-01-2012,12,6,1,5,-8
06-01-2012,16,7,6,3,-5
07-01-2012,7,3,2,2,-13
08-01-2012,9,4,3,2,-3
09-01-2012,12,5,5,2,-4
10-01-2012,11,5,3,3,-7
11-01-2012,8,4,3,1,-7
12-01-2012,6,3,2,1,-5
01-01-2013,9,3,3,3,-3
02-01-2013,9,4,2,3,-5
03-01-2013,9,6,1,2,-3
04-01-2013,13,7,4,2,-2
05-01-2013,9,6,2,1,-7
06-01-2013,8,4,1,3,-5
07-01-2013,6,5,1,0,-3
08-01-2013,10,4,4,2,-2
09-01-2013,14,6,8,0,-4
10-01-2013,19,9,8,2,-5
11-01-2013,19,11,7,1,-8
12-01-2013,12,7,4,1,-12
01-01-2014,21,9,9,3,-3
02-01-2014,19,10,7,2,-11
03-01-2014,14,8,6,0,-11
04-01-2014,14,9,3,2,-5
05-01-2014,14,8,6,0,-6
06-01-2014,13,12,1,0,-2
07-01-2014,13,9,2,2,-4
08-01-2014,14,9,3,2,-4
