date,wau,retained,new,resurrected,churned
11-10-2014,1,0,1,0,0
11-17-2014,1,1,0,0,0
11-24-2014,1,1,0,0,0
12-01-2014,1,1,0,0,0
12-08-2014,1,1,0,0,0
12-15-2014,0,0,0,0,-1
12-29-2014,1,0,1,0,0
01-05-2015,1,0,0,1,-1
01-12-2015,1,1,0,0,0
01-19-2015,1,1,0,0,0
01-26-2015,0,0,0,0,-1
02-23-2015,3,0,2,1,0
03-02-2015,1,1,0,0,-2
03-09-2015,0,0,0,0,-1
03-16-2015,4,0,0,4,0
03-23-2015,1,1,0,0,-3
03-30-2015,2,1,0,1,0
04-06-2015,1,1,0,0,-1
04-13-2015,0,0,0,0,-1
04-20-2015,1,0,1,0,0
04-27-2015,2,1,1,0,0
05-04-2015,3,1,1,1,-1
05-11-2015,1,1,0,0,-2
05-18-2015,2,0,0,2,-1
05-25-2015,3,0,0,3,-2
06-01-2015,2,2,0,0,-1
06-08-2015,6,2,4,0,0
06-15-2015,3,3,0,0,-3
06-22-2015,4,2,0,2,-1
06-29-2015,3,3,0,0,-1
07-06-2015,5,3,1,1,0
07-13-2015,6,5,0,1,0
07-20-2015,4,4,0,0,-2
07-27-2015,4,3,0,1,-1
08-03-2015,5,3,1,1,-1
08-10-2015,4,3,1,0,-2
08-17-2015,3,2,1,0,-2
08-24-2015,6,3,1,2,0
08-31-2015,3,3,0,0,-3
09-07-2015,5,2,1,2,-1
09-14-2015,5,3,1,1,-2
09-21-2015,4,3,1,0,-2
09-28-2015,3,2,0,1,-2
10-05-2015,2,2,0,0,-1
10-12-2015,4,2,0,2,0
10-19-2015,2,2,0,0,-2
10-26-2015,0,0,0,0,-2
11-02-2015,3,0,0,3,0
11-09-2015,3,2,1,0,-1
11-16-2015,1,1,0,0,-2
11-23-2015,2,1,0,1,0
11-30-2015,5,2,2,1,0
12-07-2015,2,1,0,1,-4
12-14-2015,1,0,0,1,-2
12-21-2015,1,0,1,0,-1
12-28-2015,1,0,0,1,-1
01-04-2016,3,1,0,2,0
01-11-2016,2,2,0,0,-1
01-18-2016,4,2,0,2,0
01-25-2016,3,3,0,0,-1
02-01-2016,10,3,7,0,0
02-08-2016,7,6,0,1,-4
02-15-2016,8,5,2,1,-2
02-22-2016,5,3,1,1,-5
02-29-2016,8,4,2,2,-1
03-07-2016,3,3,0,0,-5
03-14-2016,3,2,0,1,-1
03-21-2016,8,3,2,3,0
03-28-2016,9,7,0,2,-1
04-04-2016,6,3,3,0,-6
04-11-2016,4,3,1,0,-3
04-18-2016,4,3,1,0,-1
04-25-2016,6,3,1,2,-1
05-02-2016,6,5,1,0,-1
05-09-2016,6,2,2,2,-4
05-16-2016,5,3,1,1,-3
05-23-2016,6,3,2,1,-2
05-30-2016,3,3,0,0,-3
06-06-2016,4,0,1,3,-3
06-13-2016,6,1,1,4,-3
06-20-2016,5,4,0,1,-2
06-27-2016,5,4,0,1,-1
