date,wau,retained,new,resurrected,churned
03-29-2010,1,0,1,0,0
04-05-2010,1,1,0,0,0
04-12-2010,1,1,0,0,0
04-19-2010,0,0,0,0,-1
04-26-2010,1,0,0,1,0
05-03-2010,0,0,0,0,-1
05-10-2010,1,0,1,0,0
05-17-2010,0,0,0,0,-1
02-14-2011,1,0,1,0,0
02-21-2011,0,0,0,0,-1
02-28-2011,1,0,0,1,0
03-07-2011,1,1,0,0,0
03-14-2011,3,1,2,0,0
03-21-2011,3,3,0,0,0
03-28-2011,3,3,0,0,0
04-04-2011,2,2,0,0,-1
04-11-2011,3,2,0,1,0
04-18-2011,3,3,0,0,0
04-25-2011,1,1,0,0,-2
05-02-2011,1,0,1,0,-1
05-09-2011,1,0,0,1,-1
05-16-2011,1,1,0,0,0
05-23-2011,1,1,0,0,0
05-30-2011,1,1,0,0,0
06-06-2011,0,0,0,0,-1
08-29-2011,1,0,0,1,0
09-05-2011,0,0,0,0,-1
09-26-2011,1,0,1,0,0
10-03-2011,1,1,0,0,0
10-10-2011,1,1,0,0,0
10-17-2011,1,1,0,0,0
10-24-2011,1,1,0,0,0
10-31-2011,1,1,0,0,0
11-07-2011,2,1,1,0,0
11-14-2011,3,2,0,1,0
11-21-2011,1,1,0,0,-2
11-28-2011,3,1,1,1,0
12-05-2011,3,2,0,1,-1
12-12-2011,0,0,0,0,-3
12-19-2011,1,0,1,0,0
12-26-2011,1,1,0,0,0
01-02-2012,2,1,0,1,0
01-09-2012,3,2,0,1,0
01-16-2012,4,2,2,0,-1
01-23-2012,1,1,0,0,-3
01-30-2012,0,0,0,0,-1
02-06-2012,5,0,2,3,0
02-13-2012,1,1,0,0,-4
02-20-2012,2,1,1,0,0
02-27-2012,2,0,0,2,-2
03-05-2012,3,1,0,2,-1
03-12-2012,1,1,0,0,-2
03-19-2012,2,1,0,1,0
03-26-2012,3,2,0,1,0
04-02-2012,2,1,1,0,-2
04-09-2012,1,1,0,0,-1
04-16-2012,1,1,0,0,0
04-23-2012,1,1,0,0,0
04-30-2012,1,1,0,0,0
05-07-2012,1,1,0,0,0
05-14-2012,1,0,0,1,-1
05-21-2012,2,1,1,0,0
05-28-2012,0,0,0,0,-2
06-04-2012,1,0,0,1,0
06-11-2012,1,1,0,0,0
06-18-2012,1,1,0,0,0
06-25-2012,1,1,0,0,0
07-02-2012,2,1,1,0,0
07-09-2012,4,2,1,1,0
07-16-2012,2,2,0,0,-2
07-23-2012,2,2,0,0,0
07-30-2012,1,1,0,0,-1
08-06-2012,2,1,0,1,0
08-13-2012,1,1,0,0,-1
08-20-2012,2,1,0,1,0
08-27-2012,1,1,0,0,-1
09-03-2012,1,1,0,0,0
09-10-2012,3,1,1,1,0
09-17-2012,0,0,0,0,-3
10-01-2012,1,0,1,0,0
10-08-2012,1,1,0,0,0
10-15-2012,4,1,1,2,0
10-22-2012,6,3,3,0,-1
10-29-2012,9,3,6,0,-3
11-05-2012,5,3,0,2,-6
11-12-2012,2,1,1,0,-4
11-19-2012,5,1,4,0,-1
11-26-2012,5,2,2,1,-3
12-03-2012,6,2,3,1,-3
12-10-2012,6,2,2,2,-4
12-17-2012,5,3,2,0,-3
12-24-2012,27,3,13,11,-2
12-31-2012,11,5,4,2,-22
01-07-2013,10,6,4,0,-5
01-14-2013,12,5,7,0,-5
01-21-2013,17,5,8,4,-7
01-28-2013,14,9,4,1,-8
02-04-2013,11,8,3,0,-6
02-11-2013,16,6,6,4,-5
02-18-2013,14,5,8,1,-11
02-25-2013,14,6,5,3,-8
03-04-2013,7,2,3,2,-12
03-11-2013,6,2,2,2,-5
03-18-2013,13,2,5,6,-4
03-25-2013,15,8,5,2,-5
04-01-2013,14,6,4,4,-9
04-08-2013,12,6,3,3,-8
04-15-2013,17,7,7,3,-5
04-22-2013,16,8,4,4,-9
04-29-2013,20,8,8,4,-8
05-06-2013,22,10,8,4,-10
05-13-2013,16,6,4,6,-16
05-20-2013,17,6,7,4,-10
05-27-2013,8,4,0,4,-13
06-03-2013,13,4,3,6,-4
06-10-2013,12,6,3,3,-7
06-17-2013,32,5,14,13,-7
06-24-2013,26,14,4,8,-18
07-01-2013,16,10,4,2,-16
07-08-2013,18,7,3,8,-9
07-15-2013,25,10,8,7,-8
07-22-2013,15,8,3,4,-17
07-29-2013,23,10,7,6,-5
08-05-2013,23,13,8,2,-10
08-12-2013,23,8,9,6,-15
08-19-2013,36,11,14,11,-12
08-26-2013,27,10,11,6,-26
09-02-2013,30,12,9,9,-15
09-09-2013,19,8,5,6,-22
09-16-2013,24,9,6,9,-10
09-23-2013,20,6,7,7,-18
09-30-2013,17,7,4,6,-13
10-07-2013,15,5,6,4,-12
10-14-2013,15,7,4,4,-8
10-21-2013,33,7,18,8,-8
10-28-2013,25,10,8,7,-23
11-04-2013,18,6,6,6,-19
11-11-2013,19,6,6,7,-12
11-18-2013,33,6,19,8,-13
11-25-2013,18,12,3,3,-21
12-02-2013,25,7,7,11,-11
12-09-2013,32,10,9,13,-15
12-16-2013,21,10,3,8,-22
12-23-2013,17,6,3,8,-15
12-30-2013,19,8,7,4,-9
01-06-2014,26,10,9,7,-9
01-13-2014,34,10,9,15,-16
01-20-2014,33,14,7,12,-20
01-27-2014,36,16,14,6,-17
02-03-2014,21,13,5,3,-23
02-10-2014,27,5,13,9,-16
02-17-2014,31,7,7,17,-20
02-24-2014,27,10,9,8,-21
03-03-2014,29,11,11,7,-16
03-10-2014,36,14,12,10,-15
03-17-2014,40,24,8,8,-12
03-24-2014,26,11,11,4,-29
03-31-2014,44,14,15,15,-12
04-07-2014,38,17,14,7,-27
04-14-2014,37,14,10,13,-24
04-21-2014,29,10,7,12,-27
04-28-2014,34,13,5,16,-16
05-05-2014,32,12,13,7,-22
05-12-2014,40,11,17,12,-21
05-19-2014,33,15,10,8,-25
05-26-2014,24,9,3,12,-24
06-02-2014,39,9,13,17,-15
06-09-2014,31,16,5,10,-23
