date,wau,retained,new,resurrected,churned
03-01-2010,1,0,1,0,0
03-08-2010,1,1,0,0,0
03-15-2010,1,1,0,0,0
03-22-2010,0,0,0,0,-1
03-29-2010,1,0,0,1,0
04-05-2010,0,0,0,0,-1
04-12-2010,1,0,1,0,0
04-19-2010,1,1,0,0,0
04-26-2010,1,1,0,0,0
05-03-2010,0,0,0,0,-1
05-10-2010,1,0,0,1,0
05-17-2010,0,0,0,0,-1
07-12-2010,2,0,1,1,0
07-19-2010,0,0,0,0,-2
08-02-2010,1,0,0,1,0
08-09-2010,0,0,0,0,-1
09-13-2010,1,0,0,1,0
09-20-2010,0,0,0,0,-1
09-27-2010,1,0,0,1,0
10-04-2010,0,0,0,0,-1
10-11-2010,1,0,0,1,0
10-18-2010,0,0,0,0,-1
12-13-2010,1,0,1,0,0
12-20-2010,1,1,0,0,0
12-27-2010,2,1,0,1,0
01-03-2011,1,1,0,0,-1
01-10-2011,0,0,0,0,-1
01-17-2011,1,0,0,1,0
01-24-2011,2,1,0,1,0
01-31-2011,1,1,0,0,-1
02-07-2011,1,0,0,1,-1
02-14-2011,1,1,0,0,0
02-21-2011,1,1,0,0,0
02-28-2011,1,0,0,1,-1
03-07-2011,0,0,0,0,-1
03-21-2011,1,0,1,0,0
03-28-2011,3,1,2,0,0
04-04-2011,2,2,0,0,-1
04-11-2011,2,2,0,0,0
04-18-2011,3,2,1,0,0
04-25-2011,4,2,1,1,-1
05-02-2011,2,2,0,0,-2
05-09-2011,2,2,0,0,0
05-16-2011,3,2,0,1,0
05-23-2011,3,2,1,0,-1
05-30-2011,2,1,1,0,-2
06-06-2011,2,1,0,1,-1
06-13-2011,5,2,3,0,0
06-20-2011,5,4,0,1,-1
06-27-2011,6,3,1,2,-2
07-04-2011,7,5,1,1,-1
07-11-2011,6,5,1,0,-2
07-18-2011,5,4,0,1,-2
07-25-2011,4,3,1,0,-2
08-01-2011,8,4,3,1,0
08-08-2011,7,5,1,1,-3
08-15-2011,6,4,1,1,-3
08-22-2011,7,5,1,1,-1
08-29-2011,9,6,2,1,-1
09-05-2011,6,3,2,1,-6
09-12-2011,7,4,1,2,-2
09-19-2011,7,5,2,0,-2
09-26-2011,6,5,1,0,-2
10-03-2011,7,5,1,1,-1
10-10-2011,6,3,2,1,-4
10-17-2011,8,4,1,3,-2
10-24-2011,6,4,1,1,-4
10-31-2011,7,4,1,2,-2
11-07-2011,6,4,1,1,-3
11-14-2011,4,3,1,0,-3
11-21-2011,4,2,1,1,-2
11-28-2011,6,3,2,1,-1
12-05-2011,3,1,1,1,-5
12-12-2011,5,1,1,3,-2
12-19-2011,5,1,2,2,-4
12-26-2011,3,2,0,1,-3
01-02-2012,1,1,0,0,-2
01-09-2012,4,1,0,3,0
01-16-2012,4,2,1,1,-2
01-23-2012,5,1,1,3,-3
01-30-2012,7,3,1,3,-2
02-06-2012,6,2,1,3,-5
02-13-2012,3,1,0,2,-5
02-20-2012,6,3,1,2,0
02-27-2012,3,2,0,1,-4
03-05-2012,9,1,0,8,-2
03-12-2012,3,3,0,0,-6
03-19-2012,4,2,0,2,-1
03-26-2012,8,2,4,2,-2
04-02-2012,6,5,0,1,-3
04-09-2012,3,3,0,0,-3
04-16-2012,6,3,0,3,0
04-23-2012,9,5,2,2,-1
04-30-2012,6,3,1,2,-6
05-07-2012,2,2,0,0,-4
05-14-2012,3,1,0,2,-1
05-21-2012,5,3,0,2,0
05-28-2012,9,3,0,6,-2
06-04-2012,10,4,3,3,-5
06-11-2012,2,2,0,0,-8
06-18-2012,6,2,1,3,0
06-25-2012,7,2,2,3,-4
07-02-2012,1,1,0,0,-6
07-09-2012,2,1,0,1,0
07-16-2012,2,1,0,1,-1
07-23-2012,2,1,1,0,-1
07-30-2012,5,1,1,3,-1
08-06-2012,5,2,2,1,-3
08-13-2012,3,2,1,0,-3
08-20-2012,5,2,0,3,-1
08-27-2012,3,3,0,0,-2
09-03-2012,2,2,0,0,-1
09-10-2012,8,2,3,3,0
09-17-2012,6,4,1,1,-4
09-24-2012,3,1,1,1,-5
10-01-2012,6,1,3,2,-2
10-08-2012,5,3,0,2,-3
10-15-2012,5,3,0,2,-2
10-22-2012,3,2,0,1,-3
10-29-2012,3,1,0,2,-2
11-05-2012,3,1,1,1,-2
11-12-2012,2,2,0,0,-1
11-19-2012,2,1,0,1,-1
11-26-2012,5,2,2,1,0
12-03-2012,3,2,0,1,-3
12-10-2012,2,1,1,0,-2
12-17-2012,4,1,1,2,-1
12-24-2012,2,2,0,0,-2
12-31-2012,2,1,0,1,-1
01-07-2013,5,1,3,1,-1
01-14-2013,4,2,0,2,-3
01-21-2013,4,3,0,1,-1
01-28-2013,2,2,0,0,-2
02-04-2013,6,1,0,5,-1
02-11-2013,2,2,0,0,-4
02-18-2013,6,2,1,3,0
02-25-2013,5,4,1,0,-2
03-04-2013,4,1,0,3,-4
03-11-2013,4,1,0,3,-3
03-18-2013,3,2,1,0,-2
03-25-2013,4,2,0,2,-1
04-01-2013,2,2,0,0,-2
04-08-2013,11,2,3,6,0
04-15-2013,4,2,1,1,-9
04-22-2013,4,1,0,3,-3
04-29-2013,3,1,0,2,-3
05-06-2013,3,1,1,1,-2
05-13-2013,6,2,0,4,-1
05-20-2013,3,3,0,0,-3
05-27-2013,4,3,1,0,0
06-03-2013,4,2,0,2,-2
06-10-2013,2,1,1,0,-3
06-17-2013,3,1,0,2,-1
06-24-2013,2,1,0,1,-2
07-01-2013,1,1,0,0,-1
07-08-2013,3,0,1,2,-1
07-15-2013,0,0,0,0,-3
07-22-2013,3,0,0,3,0
07-29-2013,1,0,0,1,-3
08-05-2013,0,0,0,0,-1
08-12-2013,2,0,1,1,0
08-19-2013,7,2,2,3,0
08-26-2013,7,4,2,1,-3
09-02-2013,5,4,0,1,-3
09-09-2013,3,3,0,0,-2
09-16-2013,3,3,0,0,0
09-23-2013,12,3,7,2,0
09-30-2013,11,7,3,1,-5
10-07-2013,10,7,3,0,-4
10-14-2013,8,5,0,3,-5
10-21-2013,6,4,2,0,-4
10-28-2013,9,4,1,4,-2
11-04-2013,7,5,1,1,-4
11-11-2013,9,5,0,4,-2
11-18-2013,6,2,2,2,-7
11-25-2013,10,4,3,3,-2
12-02-2013,6,3,2,1,-7
12-09-2013,5,4,0,1,-2
12-16-2013,9,4,2,3,-1
12-23-2013,6,5,0,1,-4
12-30-2013,4,3,1,0,-3
01-06-2014,9,3,2,4,-1
01-13-2014,6,3,2,1,-6
01-20-2014,10,5,2,3,-1
01-27-2014,11,6,2,3,-4
02-03-2014,6,5,1,0,-6
02-10-2014,10,4,2,4,-2
02-17-2014,9,5,2,2,-5
02-24-2014,8,5,2,1,-4
03-03-2014,10,4,4,2,-4
03-10-2014,8,5,2,1,-5
03-17-2014,5,4,0,1,-4
03-24-2014,6,3,0,3,-2
03-31-2014,10,5,1,4,-1
04-07-2014,11,8,1,2,-2
04-14-2014,8,8,0,0,-3
04-21-2014,10,8,1,1,0
04-28-2014,7,7,0,0,-3
05-05-2014,7,6,0,1,-1
05-12-2014,9,5,3,1,-2
05-19-2014,7,6,1,0,-3
05-26-2014,11,7,2,2,0
06-02-2014,13,11,1,1,0
06-09-2014,9,9,0,0,-4
06-16-2014,6,6,0,0,-3
06-23-2014,6,5,0,1,-1
06-30-2014,6,6,0,0,0
